,INALT-ML,INALT-ML-to-tip,INALT-tip-to-1500,ROMS-ML,ROMS-ML-to-tip,ROMS-tip-to-1500,ROMSchild-ML,ROMSchild-ML-to-tip,ROMSchild-tip-to-1500
1,0.8799163974919247,0.9520393021279048,0.9997630893153281,0.8661590524534687,0.9352748849600387,0.8521968804654317,0.887743223016797,0.9443186359397895,0.8516065548953563
2,0.6686300589017671,0.8289608275345406,0.994314143567875,0.7001692047377327,0.7216184306127391,0.6193382589142307,0.7377349076999834,0.76398324526738,0.6741475229913333
3,0.48641459243777313,0.6830761694832231,0.970662560214799,0.4878172588832487,0.4846361104383628,0.4060748831066852,0.5952103775153833,0.5414057990320146,0.5198879763842107
4,0.32471974159224776,0.5331143478699342,0.9410092395167022,0.29932318104906935,0.2961673528699443,0.26794446229075203,0.46150008315316815,0.34952562793244824,0.409037580895432
5,0.2445373361200836,0.40332223999077954,0.9114348890468293,0.1785109983079526,0.17184851053523856,0.19313274083592105,0.3444204224180941,0.21391886091499784,0.3496574953638875
6,0.1892456773703211,0.3059889642851997,0.8742399115533444,0.0856175972927242,0.08832344393315572,0.1509797622871828,0.2421420256111758,0.13652442905140388,0.31673163531771564
7,0.13566406992209767,0.2503061474406074,0.8381505172549949,0.03248730964467005,0.04362436425284572,0.1292072670164543,0.1616497588558124,0.09642851856785518,0.2816485637512773
8,0.07182215466463994,0.20936162856031465,0.8036405275211246,0.007952622673434856,0.02816965366916929,0.11832101938109005,0.10909695659404624,0.07135562364015807,0.2537183514362487
9,0.018620558616758504,0.1724654593652303,0.7760009476427386,0.001692047377326565,0.02370428675224025,0.12103365813613164,0.057874605022451356,0.055503752053638826,0.2448245846421678
10,0.002850085502565077,0.14252784140842228,0.7529021558872305,0.0,0.020525550980867037,0.13666702359281865,0.02976883419258274,0.04184242854816986,0.22730197176702116
11,0.00019000570017100514,0.1194047053060754,0.7298823343599463,0.0,0.017694962460644222,0.150051754292037,0.010144686512556128,0.03427911726832734,0.20875752185595883
12,0.00019000570017100514,0.10262062209159932,0.7064676616915423,0.0,0.016847299588278034,0.15176499982153693,0.004822883751870947,0.028491926054201262,0.1903644552094766
13,0.00019000570017100514,0.09053320078950022,0.6841585722182737,0.0,0.011927827561152822,0.14883820537530784,0.002827207716614003,0.024673267912910912,0.17272830488589486
