,INALT-ML,INALT-ML-to-tip,INALT-tip-to-1500,ROMS-ML,ROMS-ML-to-tip,ROMS-tip-to-1500,ROMSchild-ML,ROMSchild-ML-to-tip,ROMSchild-tip-to-1500
0,0.8493055555555555,0.9409011717282137,0.9985103807839121,0.9397686477861986,0.9543112179594199,0.9964687418257913,0.9245810055865922,0.9062923244299385,0.9959546925566343
1,0.4534722222222222,0.8140607385645475,0.9325947304720231,0.6170721978460311,0.8251805847718899,0.5949516086842793,0.5778132482043097,0.6861830857701103,0.4898867313915858
2,0.1986111111111111,0.6792265910566051,0.8751512894516339,0.418029517351416,0.7090275690896747,0.417473188595344,0.3822825219473264,0.5279757543462332,0.23327939590075514
3,0.06319444444444444,0.5507464216171899,0.8260869565217391,0.24212205823693658,0.5990962413881377,0.29466387653675125,0.26456504389465285,0.3944137303226093,0.1483279395900755
4,0.015277777777777777,0.44047415707307075,0.781491481240108,0.1455923414439569,0.5026656427037074,0.1925189641642689,0.21867517956903432,0.30230466928661825,0.11663969795037757
5,0.0,0.355788610665118,0.7439716972348943,0.07658556043079377,0.4228187919463087,0.1300026157467957,0.16799680766161212,0.21423655054508314,0.10140237324703344
6,0.0,0.2900966761179244,0.7165999441392794,0.03470283207020343,0.3566396206885038,0.09351294794663877,0.11252992817238627,0.13507182663913497,0.09007551240560949
7,0.0,0.241644746581036,0.6966762871241039,0.013562026326286399,0.3017908221754761,0.060816113000261574,0.07302474062250598,0.08440462710095695,0.06216289104638619
8,0.0,0.20497842152609344,0.6846662321943953,0.005983246908655764,0.25016973299052836,0.03387392100444677,0.050678371907422186,0.05953728990430516,0.04813915857605178
9,0.0,0.17704596955100832,0.6735871892747416,0.007578779417630634,0.2179928099992209,0.02354172116139158,0.031524341580207504,0.046770576611381245,0.03155339805825243
10,0.0,0.15475011102381034,0.6586909971138628,0.007179896290386917,0.19178158424877847,0.024980381899032175,0.009577015163607342,0.03945469482004485,0.022653721682847898
11,0.0,0.13928648697889978,0.6449120193650498,0.006781013163143199,0.17616614912017095,0.022626209782893016,0.0039904229848363925,0.041475165967272805,0.021440129449838186
12,0.0,0.12795636479577313,0.6342984824504236,0.006781013163143199,0.16272107026389307,0.02720376667538582,0.0019952114924181963,0.03712338195785875,0.017125134843581444
13,0.0,0.12104442091119234,0.6225677311237315,0.0023932987634623054,0.15115696684363417,0.02746534135495684,0.0007980845969672786,0.03595772552676569,0.011596548004314994
14,0.0,0.1166604037850579,0.6173540638674239,0.00039888312724371757,0.1263258650817501,0.0253727439183887,0.0,0.040020870800861474,0.009573894282632146
15,0.0,0.11343786652091233,0.6133507122241877,0.0,0.09414894209044264,0.020795187025895893,0.0003990422984836393,0.03918825906436644,0.0093042071197411
16,0.0,0.11055694098088113,0.6093473605809515,0.0,0.08024753191536724,0.01804865289040021,0.0003990422984836393,0.03329336796998157,0.013619201725997843
17,0.0,0.1075849189810861,0.6015268596964901,0.0,0.06200540919563258,0.01360188333769291,0.0,0.02700992473189902,0.012001078748651564
18,0.0,0.10485202518817112,0.5932408528070012,0.0,0.053602234910458894,0.008108815066701544,0.0,0.021692311108150713,0.010652642934196332
19,0.0,0.1034514171193022,0.5864444651336003,0.0,0.0504190457110421,0.004969918911849333,0.0,0.018095428406492153,0.012540453074433657
20,0.0,0.1025290654641934,0.5816963038823201,0.0,0.0482152993422151,0.0030081088150667014,0.0,0.016174870667643598,0.009573894282632146
21,0.0,0.10233548548719526,0.5794618750581882,0.0,0.0471022961256358,0.0024849594559246666,0.0,0.01319967139590133,0.006472491909385114
22,0.0,0.10239242077454765,0.5779722558421003,0.0,0.05004062461740515,0.002877321475281193,0.0,0.0110570838606541,0.0040453074433656954
23,0.0,0.10257461369407532,0.5733171957918257,0.0,0.04888310127216268,0.004969918911849333,0.0,0.008759075467927795,0.0031014023732470336
24,0.0,0.10226716314237239,0.5677311237314961,0.0,0.051353968412968715,0.006016217630133403,0.0,0.007138257954217456,0.0018878101402373248
25,0.0,0.10217606668260855,0.5602830276510568,0.0,0.05379144545727737,0.013078733978550876,0.0,0.006028108972224073,0.0012135922330097086
26,0.0,0.10308703128024688,0.5555348663997766,0.0,0.05491557870602246,0.0179178655506147,0.0,0.006250138768622749,0.0009439050701186624
27,0.0,0.10396383470547375,0.5516246159575459,0.0,0.05578372121495431,0.018571802249542243,0.0,0.005428628521947645,0.0010787486515641855
28,0.0,0.10583131213063232,0.5506936039474909,0.0,0.05432568700123543,0.01909495160868428,0.0,0.00561735384888652,0.0009439050701186624
29,0.0,0.10736856488914699,0.5511591099525184,0.0,0.05427003684040647,0.021579911064608947,0.0,0.005883789604564932,0.0017529665587918016
